diff flag,cas,nata.name,epa_list_name,trv_chem,epa-ure_ug-1m3,epa_inv_ure,trv_can1_ugm.3,epa_rfc_mg.3,epa_rfc_ug.m3,trv_noncan1_ugm.3,monitored by lab?
,7440-43-9,CADMIUM COMPOUNDS,Cadmium compounds,Cadmium and compounds,0.0018,0.000555556,0.000555556,0.00001,0.01,0.01,Yes
,7440-48-4,COBALT COMPOUNDS,Cobalt compounds,Cobalt and compounds, ,, ,0.0001,0.1,0.1,Yes
hi_diff,7488-56-4,SELENIUM COMPOUNDS,Selenium disulfide,NA, ,, ,0.02,20,,No
hi_diff,75-00-3,ETHYL CHLORIDE,Ethyl chloride,Chloroethane (Ethyl chloride), ,, ,10,10000,30000,Yes
,75-01-4,VINYL CHLORIDE,Vinyl chloride,Vinyl chloride,0.0000088,0.113636364,0.113636364,0.1,100,100,Yes
,75-05-8,ACETONITRILE,Acetonitrile,Acetonitrile, ,, ,0.06,60,60,Yes
hi_diff,75-07-0,ACETALDEHYDE,Acetaldehyde,Acetaldehyde,0.0000022,0.454545455,0.454545455,0.009,9,140,Yes
can_diff,75-09-2,METHYLENE CHLORIDE,Methylene chloride,Dichloromethane (Methylene chloride),0.000000016,62.5,100,0.6,600,600,Yes
hi_diff,75-15-0,CARBON DISULFIDE,Carbon disulfide,Carbon disulfide, ,, ,0.7,700,800,Yes
can_diff,75-21-8,ETHYLENE OXIDE,Ethylene oxide,Ethylene oxide,0.005,0.0002,0.000333333,0.03,30,30,No
,75-25-2,BROMOFORM,Bromoform,Bromoform,0.0000011,0.909090909,0.909090909, ,,,No
,75-34-3,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)","Ethylidene dichloride (1,1-Dichloroethane)","1,1-Dichloroethane (Ethylidene dichloride)",0.0000016,0.625,0.625,0.5,500,,Yes
,75-35-4,VINYLIDENE CHLORIDE,Vinylidene chloride,Vinylidene chloride, ,, ,0.2,200,200,Yes
,75-44-5,PHOSGENE,Phosgene,Phosgene, ,, ,0.0003,0.3,0.3,No
,75-56-9,PROPYLENE OXIDE,Propylene oxide,Propylene oxide,0.0000037,0.27027027,0.27027027,0.03,30,30,No
,7647-01-0,HYDROCHLORIC ACID (HYDROGEN CHLORIDE [GAS ONLY]),Hydrochloric acid,Hydrochloric acid, ,, ,0.02,20,20,No
,7664-39-3,HYDROGEN FLUORIDE (HYDROFLUORIC ACID),Hydrofluoric acid,Hydrogen fluoride, ,, ,0.014,14,13,No
,77-47-4,HEXACHLOROCYCLOPENTADIENE,Hexachlorocyclopentadiene,Hexachlorocyclopentadiene, ,, ,0.0002,0.2,0.2,No
,7782-50-5,CHLORINE,Chlorine,Chlorine, ,, ,0.00015,0.15,0.15,No
,78-59-1,ISOPHORONE,Isophorone,Isophorone, ,, ,2,2000,2000,No
,78-87-5,"PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)",Propylene dichloride,"1,2-Dichloropropane (Propylene dichloride)", ,, ,0.004,4,4,Yes
hi_diff,79-00-5,"1,1,2-TRICHLOROETHANE","1,1,2-Trichloroethane","1,1,2-Trichloroethane (Vinyl trichloride)",0.000016,0.0625,0.0625,0.4,400,,Yes
can_diff,79-01-6,TRICHLOROETHYLENE,Trichloroethylene,"Trichloroethene (TCE, Trichloroethylene)",0.0000048,0.208333333,0.243902439,0.002,2,2.1,Yes
